ID	PAzules2.Archaea	PAzules3.Archaea	PAzules.Archaea
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum_oguniense	0.02087	0.02179	0.02079
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum_oguniense|t__GCF_000247545	0.02087	0.02179	0.02079
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Thermoproteus	0.02465	0.01971	0.01833
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Thermoproteus|s__Thermoproteus_uzoniensis	0.02465	0.01971	0.01833
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Thermoproteus|s__Thermoproteus_uzoniensis|t__GCF_000193375	0.02465	0.01971	0.01833
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta	0.02472	0.04659	0.03715
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta|s__Vulcanisaeta_distributa	0.01648	0.02115	0.01855
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta|s__Vulcanisaeta_distributa|t__GCF_000148385	0.01648	0.02115	0.01855
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta|s__Vulcanisaeta_moutnovskia	0.00793	0.02544	0.0186
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta|s__Vulcanisaeta_moutnovskia|t__GCF_000190315	0.00793	0.02544	0.0186
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta|s__Vulcanisaeta_unclassified	0.00031	0.0	0.0
k__Archaea|p__Euryarchaeota	4.13339	3.75578	3.17505
k__Archaea|p__Euryarchaeota|c__Archaeoglobi	0.10327	0.11969	0.09447
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales	0.10327	0.11969	0.09447
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae	0.10327	0.11969	0.09447
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus	0.09012	0.09664	0.07674
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_fulgidus	0.01403	0.02528	0.01883
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_fulgidus|t__GCF_000008665	0.01403	0.02528	0.01883
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_profundus	0.03883	0.02259	0.01949
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_profundus|t__GCF_000025285	0.03883	0.02259	0.01949
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_sulfaticallidus	0.01426	0.02191	0.0202
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_sulfaticallidus|t__GCF_000385565	0.01426	0.02191	0.0202
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_veneficus	0.02301	0.02686	0.01822
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_veneficus|t__GCF_000194625	0.02301	0.02686	0.01822
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Ferroglobus	0.01314	0.02305	0.01773
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Ferroglobus|s__Ferroglobus_placidus	0.01314	0.02305	0.01773
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Ferroglobus|s__Ferroglobus_placidus|t__GCF_000025505	0.01314	0.02305	0.01773
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname	0.1412	0.12709	0.0986
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname	0.1412	0.12709	0.0986
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname	0.1412	0.12709	0.0986
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Aciduliprofundum	0.01537	0.02571	0.02138
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Aciduliprofundum|s__Aciduliprofundum_boonei	0.01537	0.02571	0.02138
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Aciduliprofundum|s__Aciduliprofundum_boonei|t__Aciduliprofundum_boonei_unclassified	0.01537	0.02571	0.0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Aciduliprofundum|s__Aciduliprofundum_boonei|t__GCF_000151085	0.0	0.0	0.02138
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Euryarchaeota_noname	0.12583	0.10138	0.07722
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Euryarchaeota_noname|s__Marine_Group_III_euryarchaeote_SCGC_AAA007_O11	0.03008	0.02558	0.01796
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Euryarchaeota_noname|s__Marine_Group_III_euryarchaeote_SCGC_AAA007_O11|t__GCF_000372505	0.03008	0.02558	0.01796
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Euryarchaeota_noname|s__Marine_Group_III_euryarchaeote_SCGC_AAA288_E19	0.02801	0.03068	0.0185
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Euryarchaeota_noname|s__Marine_Group_III_euryarchaeote_SCGC_AAA288_E19|t__GCF_000382725	0.02801	0.03068	0.0185
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Euryarchaeota_noname|s__Marine_Group_II_euryarchaeote_SCGC_AB_629_J06	0.01448	0.01743	0.02101
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Euryarchaeota_noname|s__Marine_Group_II_euryarchaeote_SCGC_AB_629_J06|t__GCF_000376045	0.01448	0.01743	0.02101
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Euryarchaeota_noname|s__Marine_group_II_euryarchaeote_SCGC_AAA288_C18	0.05325	0.02769	0.01975
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Euryarchaeota_noname|s__Marine_group_II_euryarchaeote_SCGC_AAA288_C18|t__GCF_000382765	0.05325	0.02769	0.01975
k__Archaea|p__Euryarchaeota|c__Halobacteria	2.17466	1.89324	1.46129
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	2.17466	1.89324	1.46129
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae	2.17466	1.89324	1.46129
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Candidatus_Halobonum	0.04091	0.03016	0.01717
